domain,metadata_comment,uri_path,ip
d2.googleos-js.vip,Possible Cobalt Strike C2 Domain,/dpixel,156.245.147.98
dakk5rnsax46s.cfc-execute.su.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,8.138.167.123
dd.googleos-js.vip,Possible Cobalt Strike C2 Domain,/pixel,156.245.147.98
down.microsoft.com.w.kunlunca.com,Possible Cobalt Strike C2 Fronted Domain,/j.ad,112.125.19.107
ekostroy33.ru,Possible Cobalt Strike C2 Domain,/emkd-gettask.html,195.123.220.237
flyingbbird.cc,Possible Cobalt Strike C2 Fronted Domain,/socialapiVersion=1.1,123.58.64.57
fq3gm5xphax8c.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/v2/analytics/metrics,120.53.15.64
future.dingtalk.com,Possible Cobalt Strike C2 Fronted Domain,/api/v2/telemetry/config.js,47.92.208.27
job.itechno.cc,Possible Cobalt Strike C2 Domain,/api/v1/get,107.172.217.220
lab.google-analytcis.com,Possible Cobalt Strike C2 Domain,/assets/i18n/js/jquery-3.3.1.min.js,43.199.78.142
linuxkerneldbs.com,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml,206.188.197.241
missmovie.lol,Possible Cobalt Strike C2 Domain,/api/3,8.159.146.72
n1.google-analytcis.com,Possible Cobalt Strike C2 Domain,/assets/i18n/js/jquery-3.3.1.min.js,43.199.78.142
n2.google-analytcis.com,Possible Cobalt Strike C2 Domain,/assets/i18n/js/jquery-3.3.1.min.js,43.199.78.142
n3.google-analytcis.com,Possible Cobalt Strike C2 Domain,/assets/i18n/js/jquery-3.3.1.min.js,43.199.78.142
ns1.admlistdel.com,Possible Cobalt Strike C2 Domain,/image/,107.173.122.193
ns1.akawowfast.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,139.180.189.95
ns1.cacheflow.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,202.95.18.30
ns1.cmbchina.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,8.219.78.159
ns1.cryptwechat.com,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,107.174.115.43
ns1.googleclouds.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,148.135.120.162
ns1.gygiuh.online,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,47.129.2.130
ns1.jane2010.filegear-sg.me,Possible Cobalt Strike C2 Domain,/updates.rss,43.230.200.254
ns1.microoosoft.com,Possible Cobalt Strike C2 Domain,/Manag_backend/jquery-3.3.1.min.js,47.236.159.248
ns1.ns-apache.jo3.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,167.179.76.179
ns1.nsebseshop.cloud,Possible Cobalt Strike C2 Domain,/v/741823546921,47.236.130.154
ns1.translategoos.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,207.148.68.118
ns1.twnic.top,Possible Cobalt Strike C2 Domain,/push,45.43.59.179
ns2.admlistdel.com,Possible Cobalt Strike C2 Domain,/image/,107.173.122.193
ns2.akawowfast.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,139.180.189.95
ns2.cmbchina.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,8.219.78.159
ns2.cryptwechat.com,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,107.174.115.43
ns2.googleclouds.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,148.135.120.162
ns2.jane2010.filegear-sg.me,Possible Cobalt Strike C2 Domain,/j.ad,43.230.200.254
ns2.microoosoft.com,Possible Cobalt Strike C2 Domain,/Manag_backend/jquery-3.3.1.min.js,47.236.159.248
ns2.nsebseshop.cloud,Possible Cobalt Strike C2 Domain,/v/741823546921,47.236.130.154
ns2.translategoos.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,207.148.68.118
ns3.admlistdel.com,Possible Cobalt Strike C2 Domain,/image/,107.173.122.193
ns3.akawowfast.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,139.180.189.95
ns3.nsebseshop.cloud,Possible Cobalt Strike C2 Domain,/v/741823546921,47.236.130.154
ns3.translategoos.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,207.148.68.118
pull.portal.10086.cn,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,101.133.225.51
secure-server.sbs,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/,147.78.2.110
services.remotewire.net,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,47.236.91.172
static.slbc7890.shop,Possible Cobalt Strike C2 Domain,/cx,207.56.226.75
update.mloadspring.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,70.34.196.238
upgrade.mloadspring.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,70.34.196.238
ws.227api.com,Possible Cobalt Strike C2 Domain,/match,43.225.158.58
ws1.227api.com,Possible Cobalt Strike C2 Domain,/en_US/all.js,43.225.158.58
www.cement-chemistry.com,Possible Cobalt Strike C2 Domain,/img/avatar.svg,47.239.222.85
www.dyshop.online,Possible Cobalt Strike C2 Domain,/login.js,111.229.4.108
www.mfmni.shop,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js,156.245.144.203
www.microsslcheck.com,Possible Cobalt Strike C2 Domain,/api/stream,193.53.127.220
www.pronhub.shop,Possible Cobalt Strike C2 Domain,/en_US/all.js,68.64.178.130
xulnai.com,Possible Cobalt Strike C2 Domain,/api/v1/health,107.173.38.158
zhimawithyou.top,Possible Cobalt Strike C2 Fronted Domain,/api/v1/node/check,165.154.225.239
